Tag,ID,FvFm,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,D_toWhite,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T3-5-2_I,T3-5-2,0.528,T3,5,2,Acropora hemprichii,36.32067772,I,0,67.79259003,189.4926103,182.3939287,181.3370145,37.49742726,17.27928472,11.54033795
T3-5-2_Middle,T3-5-2,0,T3,5,2,Acropora hemprichii,36.32067772,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-6-1_F,C-6-1,0.322,C,6,1,Stylophora pistillata,31.81368785,F,18,60.76846914,203.3483167,198.3070401,195.4294749,79.74115449,51.26667699,21.71681784
C-6-1_I,C-6-1,0.412,C,6,1,Stylophora pistillata,31.81368785,I,0,63.22503421,189.4926103,182.3939287,181.3370145,51.14276594,30.02200793,8.71184732
C-6-1_Middle,C-6-1,0.343,C,6,1,Stylophora pistillata,31.81368785,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-6-2_F,C-6-2,0.301,C,6,2,Stylophora pistillata,31.81342634,F,18,58.26178103,202.7859978,197.5462694,195.2656371,85.45138702,57.42383383,26.2228926
C-6-2_I,C-6-2,0.418,C,6,2,Stylophora pistillata,31.81342634,I,0,59.37111244,189.4926103,182.3939287,181.3370145,62.48605794,40.2544426,16.05393977
C-6-2_Middle,C-6-2,0.397,C,6,2,Stylophora pistillata,31.81342634,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-6-1_F,T1-6-1,0.312,T1,6,1,Stylophora pistillata,33.65498611,F,18,66.42617504,203.3483167,198.3070401,195.4294749,59.03836447,35.64187732,13.16884438
T1-6-1_I,T1-6-1,0.424,T1,6,1,Stylophora pistillata,33.65498611,I,0,63.7129001,189.4926103,182.3939287,181.3370145,48.99549304,28.74650498,10.61599034
T1-6-1_Middle,T1-6-1,0.374,T1,6,1,Stylophora pistillata,33.65498611,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-6-2_F,T1-6-2,0.292,T1,6,2,Stylophora pistillata,34.09503478,F,18,64.27168718,202.7859978,197.5462694,195.2656371,70.47947211,44.02266914,10.77629146
T1-6-2_I,T1-6-2,0.354,T1,6,2,Stylophora pistillata,34.09503478,I,0,61.79947948,189.4926103,182.3939287,181.3370145,57.80222975,35.24858429,8.54219335
T1-6-2_Middle,T1-6-2,0.36,T1,6,2,Stylophora pistillata,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-6-1_F,T2-6-1,0.063,T2,6,1,Stylophora pistillata,36.10948895,F,18,48.98515348,203.06107,197.9103429,195.4444993,111.2106561,81.83683288,48.05696297
T2-6-1_I,T2-6-1,0.417,T2,6,1,Stylophora pistillata,36.10948895,I,0,62.93768465,189.4926103,182.3939287,181.3370145,57.17,35.32,12.15
T2-6-1_Middle,T2-6-1,0.247,T2,6,1,Stylophora pistillata,36.10948895,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-6-2_F,T2-6-2,0.175,T2,6,2,Stylophora pistillata,35.57866298,F,18,55.71308248,202.9671618,197.6083968,195.5745627,87.12364372,60.01200483,35.63761739
