ID,Tag,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,FvFm,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T3-4-1,T3-4-1_I,T3,4,1,Acropora hemprichii,37.86072744,I,0,0.472,193.4885714,189.7432653,186.6583674,57.28851708,31.76223574,20.27946783
T3-4-1,T3-4-1_Middle,T3,4,1,Acropora hemprichii,37.86072744,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-4-1,T3-4-1_F,T3,4,1,Acropora hemprichii,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,98.27425411,81.35072066,61.06861399
C-4-2,C-4-2_I,C,4,2,Acropora hemprichii,31.81342634,I,0,0.507,193.4885714,189.7432653,186.6583674,63.40894667,38.34330302,24.72084873
C-4-2,C-4-2_Middle,C,4,2,Acropora hemprichii,31.81342634,Middle,7,0.284,NA,NA,NA,NA,NA,NA
C-4-2,C-4-2_F,C,4,2,Acropora hemprichii,31.81342634,F,18,0.432,196.94,194.8730612,192.0306122,61.64504098,36.13028696,22.4812879
T1-4-2,T1-4-2_I,T1,4,2,Acropora hemprichii,34.09503478,I,0,0.538,193.4885714,189.7432653,186.6583674,54.59596917,30.80572673,22.69858324
T1-4-2,T1-4-2_Middle,T1,4,2,Acropora hemprichii,34.09503478,Middle,7,0.275,NA,NA,NA,NA,NA,NA
T1-4-2,T1-4-2_F,T1,4,2,Acropora hemprichii,34.09503478,F,18,0.442,196.94,194.8730612,192.0306122,53.02045174,30.08155576,20.45531808
T2-4-2,T2-4-2_I,T2,4,2,Acropora hemprichii,35.57866298,I,0,0.529,193.4885714,189.7432653,186.6583674,54.1443361,30.76547018,27.03960681
T2-4-2,T2-4-2_Middle,T2,4,2,Acropora hemprichii,35.57866298,Middle,7,0.206,NA,NA,NA,NA,NA,NA
T2-4-2,T2-4-2_F,T2,4,2,Acropora hemprichii,35.57866298,F,18,0.443,195.9604082,194.9604082,191.0730612,80.0528309,51.88542114,50.94770627
