"Index","Outcome","Covars","p_spearman","ci_lower","ci_upper","p_value","CV_RMSE","R2","RMSE_in","AIC","BIC","N","nGenos","Species","p_adj_BH","Rank"
"Grayscale_weight","cells_cm2","",-0.839962476547843,-0.915837769402861,-0.680957430885725,0,0.0955874617247762,0.655839075440965,0.0861607448538833,-76.6081654367015,-71.5415270743597,40,5,"Acropora hemprichii",0,4
"NDI","cells_cm2","",0.839212007504691,0.698842690766132,0.905845428186467,0,0.0876013072964053,0.694131139639538,0.0812262301525799,-81.3262815470032,-76.2596431846614,40,5,"Acropora hemprichii",0,5
"NGRI","cells_cm2","",-0.839212007504691,-0.905845428186467,-0.698842690766132,0,0.0876256988908562,0.694056131994187,0.0812361890198942,-81.3164736247748,-76.249835262433,40,5,"Acropora hemprichii",0,6
"MGRVI","cells_cm2","",-0.839212007504691,-0.905845428186467,-0.698842690766132,0,0.0897735309776307,0.682950956999853,0.0826974062102041,-79.8902806465944,-74.8236422842526,40,5,"Acropora hemprichii",0,7
"L_coral","cells_cm2","",-0.837898686679175,-0.912877513352166,-0.671010820303074,0,0.0948933007613536,0.660901313099499,0.0855247314001213,-77.2008924415578,-72.134254079216,40,5,"Acropora hemprichii",0,8
"R_plus_G","cells_cm2","",-0.837335834896811,-0.914388066865356,-0.671205000469969,0,0.0958465008995398,0.654765527898542,0.0862950216255421,-76.4835868955163,-71.4169485331745,40,5,"Acropora hemprichii",0,9
"SAVI","cells_cm2","",-0.836772983114447,-0.903861483279784,-0.69366219494533,0,0.0870472082085593,0.695257443524621,0.0810765421566943,-81.4738457924657,-76.4072074301239,40,5,"Acropora hemprichii",0,10
"EVI_2","cells_cm2","",-0.836772983114447,-0.903861483279784,-0.69366219494533,0,0.0877026325332673,0.691991486538693,0.0815098371100261,-81.0474425662302,-75.9808042038884,40,5,"Acropora hemprichii",0,11
"D_toWhite_RGB","cells_cm2","",0.833771106941839,0.654801254135946,0.919390721493187,0,0.0960163947188214,0.649050178763786,0.0870063956135727,-75.8268093620102,-70.7601709996684,40,5,"Acropora hemprichii",0,12
"D_toWhite_RGB_corrected","cells_cm2","",0.832457786116323,0.660651855992409,0.914779326614413,0,0.0966907705294743,0.645596705737096,0.0874334348129769,-75.4351189537406,-70.3684805913988,40,5,"Acropora hemprichii",0,13
